0
750 (1400) 
600 
700 
900 (1600) 
600 (1150) 
0 
300 
300 (900) 
550 
1100 (2250) 
1250 (1850) 
2100 
 
700 (1600) 
1500 (2200) 
900 (1550) 
1000 (2600) 
1300 (2550) 
700 
1000 (2200) 
700 
650 (1250) 
1100 (2500) 
150 
0 
600 
1450 (2600) 
900 (2200) 
0 
1500 (2200) 
1400 (2800) 
850 
1500 (2300) 
800 
700 (1350) 
1250 (2600) 
1150 (2500) 
500 
700 
450 (1050) 
0 
900 (2350) 
600 
1250 (2300) 
1350 (2050) 
1050 (2300) 
600 
1500 (2100) 
1100 (2500) 
1500 (2100) 
1350 (2500) 
950 (2150) 
300 
300 
400 
550 (1200) 
600 (1200) 
1000 (2400) 
1300 (2700) 
565 (2265) 
500 (1150) 
650 
850 (1500) 
300 (900) 
400 (900) 
1250 (1850) 
700 
1000 (2050) 
1500 (2300) 
300 (600) 
300 
650 
0 
700 (1250) 
800 (1400) 
1050 (1600) 
1500 (2150) 
1500 (2150) 
650 
1650 (3000) 
700 
1000 (2300) 
900 (2300) 
1500 (2150) 
850 (2300) 
1300 (2500) 
1250 (2850) 
375 (1075) 
600 
1000 (1600) 
3000 
3000 
1500 
1450 (2300) 
650 (1250) 
600 
800 (1400) 
600 (2000) 
650 
650 
700 (1300) 
750 (1400) 
550 (1100) 
300 (900) 
1250 (2600) 
1350 (2050) 
300 
650 
1200 (2800) 
1150 
500 (1200) 
300 (900) 
1000 
700 (1350) 
750 
0 
950 (2300) 
1100 (2350) 
2850 
900 
1500 (2200) 
1350 (2700) 
950 (2200) 
650 
200 (600) 
200 
200 (400) 
200 (600) 
1250 (2400) 
600 
700 (2000) 
980 (2330) 
300 (900) 
300 (900) 
300 (900) 
300 (900) 
300 (900) 
300 (900) 
600 (900) 
600 (900) 
700 
100 
300 
1450 (2600) 
1200 (2500) 
1400 (2700) 
50 
1700 (2900) 
850 (2100) 
300 (900) 
0 
700 (1350) 
800 (1450) 
1500 (2100) 
700 
1150 (2200) 
900 (2450) 
700 (1600) 
0 
700 
550 (1200) 
1500 (2200) 
950 (2150) 
650 (1200) 
1250 (2450) 
600 
300 (600) 
300 (600) 
300 (600) 
300 (600) 
300 (600) 
300 (600) 
300 (600) 
300 (600) 
1500 (2100) 
600 
650 
950 (2150) 
600 (1200) 
750 (2200) 
650 
700 (1600) 
1500 (2200) 
700 
600 
700 
1100 (2300) 
550 
950 (2150) 
650 
700 
1000 (2150) 
0 
650 
0 
400 (900) 
1000 (2250) 
1300 (2650) 
50 
1500 (2250) 
1500 (2250) 
750 
1400 (2900) 
800 
1200 (2500) 
700 
0 
500 (1200) 
800 (1700) 
800 (1700) 
900 (2300) 
600 
580 (1230) 
250 
50 
1050 (2450) 
700 
650 (1550) 
1050 (2550) 
900 (2100) 
850 (2100) 
1450 (2300) 
1500 (2150) 
1500 (2250) 
1000 (2250) 
0 
1100 (2500) 
950 (2300) 
250 
500 
500 
800 (2400) 
300 (900) 
1500 (2150) 
500 (1200) 
0 
300 
1200 (2300) 
1450 (2700) 
550(1150) 
1150 (2500) 
300 (600) 
750 
1300 (2500) 
650 (1550) 
650 (1550) 
700 (1850) 
850 (1400) 
700 
750 
1200 (2500) 
1100 (2600) 
850 (1500) 
1600 (3000) 
1950 
650 
1050 (2400) 
1000 (2150) 
1500 (2200) 
800 (1400) 
300 (900) 
750 
1450 (2300) 
0 
1500 (2150) 
1250 (1800) 
1250 (1800) 
550 
120 
1350 (2650) 
1000 (2400) 
1400 (2500) 
300 (900) 
750 (2000) 
600 
0 
300 (900) 
1200 (2350) 
650 (1300) 
500 
700 (1600) 
650 (1550) 
950 (2200) 
650 
650 (1350) 
650 
1500 (2100) 
450 (1050) 
600 (1250) 
1000 (2200) 
2865 
700 
550 (1300) 
700 (1350) 
1050 (2100) 
1200 (2300) 
1300 (2650) 
800 
700 (2100) 
1250 (1850) 
1200 (2600) 
1150 (2550) 
700 
1050 (2100) 
850 (1500) 
650 
600 (1250) 
600 
300 (900) 
950 (1600) 
1000 (2500) 
2600 
1050 (2650) 
750 (1400) 
950 (2250) 
1000 (1700) 
950 (2350) 
850 (2250) 
600 
1500 (2100) 
0 
800 
1500 (2200) 
1500 (2200) 
700 
700 (1600) 
650 
900 (2150) 
1000 (2250) 
850 (1400) 
0 
500 (1100) 
1400 (2700) 
1500 (2250) 
950 (2400) 
950 (2200) 
1000 (2300) 
1350 (2050) 
1350 (2050) 
650 (1300) 
450 (1350) 
550 
1050 (2550) 
1450 (2300) 
500 (1150) 
950 (2200) 
1400 (2600) 
700 (1600) 
700 
1400 (2800) 
800 (2400) 
650 
700 
0 
1000 (2600) 
900 (2250) 
1250 (1850) 
600 
50 
750 (1350) 
500 (1150) 
600 
1150 (2500) 
700 (1600) 
600 
850 (1500) 
700 
800 
300 (900) 
1100 (2500) 
700 (1850) 
800 (2050) 
300 (900) 
850 
