0
8-Pointed Shuriken
Achilles' Spear
Acorn of Swiftness
Acorn of Yggdrasil
Adventurer's Blade
Aegis Amulet
Aegis Amulet (Old)
Aegis Pendant
Ancient Blade
Ancile
Animosity
Ankh of the Golem
Ankh of the Reborn
Apprentice Staff
Archmage's Gem
Armored Cloak
Arondight
Asi
Assassin's Blessing
Atalanta's Bow
Attacker's Blessing
Balanced Blade
Bancroft's Talon
Baron's Brew
Belt of Frenzy
Benevolence
Berserker's Shield
Blackthorn Hammer
Blink Rune
Blood-Soaked Shroud
Bloodforge
Blue Acorn
Bluestone Brooch
Bluestone Pendant
Book of Souls
Book of the Dead
Book of Thoth
Boots
Boots of the Magi
Bound Gauntlet
Bracer of Radiance
Brawler's Beat Stick
Breastplate
Breastplate of Valor
Bristlebush Acorn
Bulwark of Hope
Bumba's Dagger
Bumba's Hammer
Bumba's Mask
Bumba's Spear
Caduceus Shield
Celestial Legion Helm
Chalice of Healing
Chalice of Mana
Chalice of the Oracle
Charged Bow
Charged Morningstar
Charon's Coin
Chronos' Pendant
Circlet of Focus
Cleric's Cloak
Cloak
Cloak of Concentration
Combat Blink
Combat Boots
Compassion
Conduit Gem
Contagion
Corrupted Bluestone
Creepier Curse
Creeping Curse
Cudgel
Cursed Ankh
Cursed Blade
Cursed Gauntlet
Cursed Orb
Death's Embrace
Death's Temper
Death's Toll
Deathbringer
Defender's Blessing
Demonic Grip
Devourer's Gauntlet
Diamond Arrow
Divine Ruin
Dominance
Doom Orb
Draining Blade
Druid Stone
Dynasty Plate Helm
Elixir of Defense
Elixir of Power
Elixir of Speed
Emerald Acorn
Emerald Mail
Emerald Ring
Emerald Talisman
Emperor's Armor
Enchanted Buckler
Enchanted Kusari
Enchanted Ring
Enchanted Spear
Enchanted Trinket
Enfeebling Curse
Ethereal Staff
Evergreen Acorn
Eye of Providence
Eye Of The Jungle
Fail-Not
Fatalis
Fighter's Mask
Fist of the Gods
Flickering Ritual
Fortified Scepter
Frenzied Ritual
Frenzy
Frostbound Hammer
Gauntlet of Thebes
Gem of Binding
Gem of Fate
Gem of Focus
Gem of Isolation
Genji's Guard
Gilded Arrow
Girdle of Inner Power
Girdle of Might
Girdle of Power
Girdle of Support
Gladiator's Shield
Glowing Emerald
Golden Blade
Golden Bow
Greater Aegis
Greater Blink
Greater Meditation
Greater Providence
Greater Purification
Greater Sprint
Guard Boots (M)
Guard Boots (P)
Guardian's Blessing
Hand of the Gods
Hand Of The Gods (Old)
Hastened Fatalis
Hastened Katana
Hastened Ring
Healing Potion
Heartseeker
Heartward Amulet
Heavenly Agility
Heavenly Wings
Heavy Hammer
Heavy Mace
Hero's Axe
Hidden Dagger
Hide of the Nemean Lion
Hide of the Urchin
Honed Edge
Horrific Emblem
Hunter's Blessing
Hunter's Bow
Hunter's Cowl
Hydra's Lament
Hydra's Star
Ichaival
Imperial Helmet
Improved Aegis
Improved Blink
Improved Meditation
Improved Providence
Improved Purification
Improved Shell
Improved Sprint
Improved Teleport
Infused Sigil
Intensify Defenses
Iron Mail
Jade Emperor's Crown
Jade Mountain Helm
Jotunn's Wrath
Katana
Knight's Shield
Leader's Cowl
Leather Cowl
Light Blade
Lively Acorn
Lono's Mask
Lost Artifact
Lotus Crown
Mace
Mage's Blessing
Magi's Cloak
Magic Acorn
Magic Focus
Magic Shell
Magic Shoes
Mail of Renewal
Malice
Mana Potion
Manikin Hidden Blade
Manikin Mace
Manikin Scepter
Mantle of Discord
Mark of the Vanguard
Masamune
Mask
Meditation Cloak
Messenger's Mask
Midas Boots (M)
Midas Boots (P)
Midgardian Mail
Morningstar
Morningstar of Speed
Motivate
Multi Potion
Mystical Mail
Nettle Acorn
Ninja Tabi
Obsidian Shard
Odysseus' Bow
Oni Hunter's Garb
Opal Acorn
Ornate Arrow
Pendulum of Ages
Pestilence
Phantom Veil
Poisoned Star
Polynomicon
Portal Deleted
Potion of Magical Might
Potion of Power
Pridwen
Protected Recall
Protector Of The Jungle
Protector's Mask
Purification Beads
Purification Beads (Old)
Pythagorem's Piece
Qin's Sais
Radiant Orb
Rage
Rage of the Gods
Rallying Ritual
Rangda's Mask
Reinforced Greaves
Reinforced Shoes
Relic Dagger
Restored Artifact
Reveal
Revealing Ritual
Ring of Hecate
Rod of Asclepius
Rod of Healing
Rod of Tahuti
Rod of Will
Round Shield
Runeforged Hammer
Runic Shield
Sacrificial Shroud
Sage's Stone
Salvation
Sands of Time
Sapphire Acorn
Scout
Seer Of The Jungle
Sentinel's Boon
Sentinel's Embrace
Sentinel's Gift
Sentry Ward
Serrated Edge
Shadowsteel Shuriken
Shaman's Ring
Shell of Absorption
Shield of Regrowth
Shield of the Underworld
Shield of Thorns
Shielded Teleport
Shifter's Shield
Shillelagh
Shoes
Shoes of Focus
Shoes of the Magi
Shogun's Kusari
Short Bow
Short Sword
Shuriken
Sigil Of The Old Guard
Silver Breastplate
Silver Talisman
Silverbranch Bow
Silverfox Girdle
Simple Blade
Smithy's Hammer
Sorcerer's Staff
Soul Eater
Soul Gem
Soul Reaver
Soul Stone
Sovereignty
Spartan Flag
Spear of Desolation
Spear of the Magus
Specialist's Blessing
Spectral Armor
Spell Focus
Spellbook
Spellbound Kusari
Spiked Gauntlet
Spiked Shell
Spiked Shield
Spirit Robe
Staff of Mana
Staff of Myrddin
Steel Mail
Stone Cutting Sword
Stone of Binding
Stone of Fal
Stone of Gaia
Structural Invulnerability
Sundering Axe
Sundering Spear
Swift Wing
Tainted Amulet
Tainted Breastplate
Tainted Steel
Talaria Boots
Talisman
Talisman of Energy
Talisman of the Relentless
Talon Trinket
Teleport Glyph
Teleport to Gods
Telkhines Ring
The Alternate Timeline
The Crusher
The Executioner
The Sledge
Thickbark Acorn
Thistlethorn Acorn
Thousand Fold Blade
Throwing Dagger
Tiny Trinket
Titan's Bane
Topaz Acorn
Tower Shield
Toxic Blade
Transcendence
Traveler's Shoes
Turn Minions
Typhon's Fang
Tyrannical Plate Helm
Uncommon Staff
Vampiric Shroud
Vision Shard
Void Shield
Void Stone
War Banner
War Flag
Ward
Ward Stone
Warded Shield
Warding Sigil
Warlock's Staff
Warrior Tabi
Warrior's Axe
Warrior's Bane
Warrior's Blessing
Watcher's Gift
Weakening Curse
Wind Demon
Winged Blade
Witchblade
Wrath of the Gods
Yellow Acorn
